,Day,Cash,Portfolio,Total,Open,Close,High,Low,Signal,Target price,Tag,MDD
0,2023-03-08,10000.0,0.0,10000.0,10295,10220,10295,10155,0.0,10220,0,0
1,2023-03-09,10000.0,0.0,10000.0,10290,10255,10355,10205,0.0,10255,0,0
2,2023-03-10,10000.0,0.0,10000.0,10185,10040,10200,10010,-1.0,10040,0,0
3,2023-03-13,10000.0,0.0,10000.0,9895,10040,10050,9760,0.0,10040,0,0
4,2023-03-14,10000.0,0.0,10000.0,10040,9845,10080,9840,0.0,9845,0,0
5,2023-03-15,10000.0,0.0,10000.0,9990,10130,10180,9945,0.0,10130,0,0
6,2023-03-16,10000.0,0.0,10000.0,10080,9975,10120,9850,0.0,9975,0,0
7,2023-03-17,10000.0,0.0,10000.0,10045,10000,10170,9965,0.0,10000,0,0
8,2023-03-20,10000.0,0.0,10000.0,10000,10110,10265,10000,0.0,10110,0,0
9,2023-03-21,10000.0,0.0,10000.0,10200,10215,10280,10190,0.0,10215,0,0
10,2023-03-22,10000.0,0.0,10000.0,10320,9870,10320,9795,0.0,9870,0,0
11,2023-03-23,10000.0,0.0,10000.0,9870,9910,9980,9845,0.0,9910,0,0
12,2023-03-24,10000.0,0.0,10000.0,9930,9910,10000,9840,0.0,9910,0,0
13,2023-03-27,10000.0,0.0,10000.0,9910,9940,9975,9820,0.0,9940,0,0
14,2023-03-28,10000.0,0.0,10000.0,9960,10260,10315,9960,0.0,10260,0,0
15,2023-03-29,57.13999999999942,9942.5,9999.64,10275,10250,10280,10150,1.0,10250,0,0
16,2023-03-30,57.13999999999942,10088.0,10145.14,10255,10400,10435,10210,0.0,10400,0,0
17,2023-03-31,57.13999999999942,10252.9,10310.039999999999,10450,10570,10630,10445,0.0,10570,0,0
18,2023-04-03,57.13999999999942,10442.05,10499.189999999999,10600,10765,10865,10600,0.0,10765,0,0
19,2023-04-04,57.13999999999942,10650.6,10707.74,10890,10980,11090,10875,0.0,10980,0,0
20,2023-04-05,57.13999999999942,10946.449999999999,11003.589999999998,11000,11285,11330,11000,0.0,11285,0,0
21,2023-04-06,57.13999999999942,10820.35,10877.49,11355,11155,11375,11120,0.0,11155,0,0
22,2023-04-07,57.13999999999942,10733.05,10790.189999999999,11170,11065,11170,10935,0.0,11065,0,0
23,2023-04-10,57.13999999999942,10946.449999999999,11003.589999999998,11065,11285,11330,10945,0.0,11285,0,0
24,2023-04-11,57.13999999999942,10830.05,10887.189999999999,11385,11165,11425,10980,0.0,11165,0,0
25,2023-04-12,57.13999999999942,10990.1,11047.24,11220,11330,11435,11200,0.0,11330,0,0
26,2023-04-13,57.13999999999942,10994.949999999999,11052.089999999998,11380,11335,11380,11195,0.0,11335,0,0
27,2023-04-14,57.13999999999942,10912.5,10969.64,11380,11250,11425,11185,0.0,11250,0,0
28,2023-04-17,57.13999999999942,11213.199999999999,11270.339999999998,11300,11560,11560,11300,0.0,11560,0,0
29,2023-04-18,57.13999999999942,11247.15,11304.289999999999,11640,11595,11650,11465,0.0,11595,0,0
30,2023-04-19,57.13999999999942,11431.449999999999,11488.589999999998,11670,11785,11825,11625,0.0,11785,0,0
31,2023-04-20,57.13999999999942,11809.75,11866.89,11885,12175,12540,11850,0.0,12175,0,0
32,2023-04-21,57.13999999999942,11741.85,11798.99,12230,12105,12235,11785,0.0,12105,0,0
33,2023-04-24,57.13999999999942,11955.25,12012.39,12255,12325,12720,12225,0.0,12325,0,0
34,2023-04-25,57.13999999999942,12270.5,12327.64,12560,12650,12855,12325,0.0,12650,0,0
35,2023-04-26,57.13999999999942,11727.3,11784.439999999999,12575,12090,12575,11850,0.0,12090,0,0
36,2023-04-27,57.13999999999942,11969.8,12026.939999999999,12005,12340,12475,11770,0.0,12340,0,0
37,2023-04-28,57.13999999999942,11349.0,11406.14,12375,11700,12405,11605,0.0,11700,0,0
38,2023-05-02,57.13999999999942,11635.15,11692.289999999999,11690,11995,12040,11600,0.0,11995,0,0
39,2023-05-03,57.13999999999942,11601.199999999999,11658.339999999998,11970,11960,12270,11935,0.0,11960,0,0
40,2023-05-04,57.13999999999942,11446.0,11503.14,11985,11800,12100,11735,0.0,11800,0,0
41,2023-05-08,57.13999999999942,11523.6,11580.74,11975,11880,12100,11860,0.0,11880,0,0
42,2023-05-09,57.13999999999942,11193.8,11250.939999999999,11910,11540,11910,11465,0.0,11540,0,0
43,2023-05-10,57.13999999999942,11188.949999999999,11246.089999999998,11630,11535,11770,11490,0.0,11535,0,0
44,2023-05-11,57.13999999999942,11475.1,11532.24,11615,11830,11895,11605,0.0,11830,0,0
45,2023-05-12,57.13999999999942,11232.6,11289.74,11855,11580,11860,11470,0.0,11580,0,0
46,2023-05-15,11235.983120017,0.0,11235.983120017,11525,11510,11645,11440,-1.0,11510,0,0
47,2023-05-16,11235.983120017,0.0,11235.983120017,11520,11515,11565,11430,0.0,11515,0,0
48,2023-05-17,11235.983120017,0.0,11235.983120017,11515,11445,11570,11355,0.0,11445,0,0
49,2023-05-18,11235.983120017,0.0,11235.983120017,11575,11570,11645,11530,0.0,11570,0,0
50,2023-05-19,11235.983120017,0.0,11235.983120017,11695,11765,11785,11580,0.0,11765,0,0
51,2023-05-22,38.373120016998655,11197.2,11235.573120017,11875,12040,12105,11865,1.0,12040,0,0
52,2023-05-23,38.373120016998655,11132.1,11170.473120016999,12135,11970,12135,11870,0.0,11970,0,0
53,2023-05-24,38.373120016998655,11080.95,11119.323120017,12030,11915,12030,11825,0.0,11915,0,0
54,2023-05-25,38.373120016998655,10978.650000000001,11017.023120017,11850,11805,11875,11725,0.0,11805,0,0
55,2023-05-26,38.373120016998655,10788.0,10826.373120016999,11850,11600,11920,11550,0.0,11600,0,0
56,2023-05-30,10974.775064244199,0.0,10974.775064244199,11760,11590,11760,11520,-1.0,11590,0,0
57,2023-05-31,10974.775064244199,0.0,10974.775064244199,11660,11625,11700,11575,0.0,11625,0,0
58,2023-06-01,10974.775064244199,0.0,10974.775064244199,11680,11685,11855,11630,0.0,11685,0,0
59,2023-06-02,86.22506424419953,10888.15,10974.3750642442,11745,11965,11985,11700,1.0,11965,0,0
60,2023-06-05,86.22506424419953,10819.9,10906.1250642442,12055,11890,12100,11850,0.0,11890,0,0
61,2023-06-07,86.22506424419953,10797.15,10883.3750642442,11880,11865,12010,11865,0.0,11865,0,0
62,2023-06-08,86.22506424419953,10829.0,10915.2250642442,11900,11900,11965,11850,0.0,11900,0,0
63,2023-06-09,86.22506424419953,10815.35,10901.5750642442,12000,11885,12000,11800,0.0,11885,0,0
64,2023-06-12,86.22506424419953,10883.6,10969.8250642442,11855,11960,12080,11855,0.0,11960,0,0
65,2023-06-13,86.22506424419953,10801.7,10887.9250642442,11960,11870,12025,11750,0.0,11870,0,0
66,2023-06-14,86.22506424419953,10892.7,10978.9250642442,11900,11970,12080,11875,0.0,11970,0,0
67,2023-06-15,86.22506424419953,10847.2,10933.4250642442,12015,11920,12035,11800,0.0,11920,0,0
68,2023-06-16,86.22506424419953,11188.45,11274.6750642442,12030,12295,12310,11990,0.0,12295,0,0
69,2023-06-19,86.22506424419953,12184.9,12271.1250642442,12370,13390,13420,12315,0.0,13390,0,0
70,2023-06-20,86.22506424419953,12307.75,12393.9750642442,13415,13525,13560,13240,0.0,13525,0,0
71,2023-06-21,86.22506424419953,12012.0,12098.2250642442,13500,13200,13620,13165,0.0,13200,0,0
72,2023-06-22,86.22506424419953,12021.1,12107.3250642442,13180,13210,13415,13100,0.0,13210,0,0
73,2023-06-23,86.22506424419953,11766.300000000001,11852.5250642442,13210,12930,13210,12880,0.0,12930,0,0
74,2023-06-26,86.22506424419953,11684.4,11770.6250642442,12915,12840,12915,12685,0.0,12840,0,0
75,2023-06-27,86.22506424419953,11557.0,11643.2250642442,12750,12700,12925,12650,0.0,12700,0,0
76,2023-06-28,86.22506424419953,11379.550000000001,11465.7750642442,12715,12505,12800,12500,0.0,12505,0,0
77,2023-06-29,86.22506424419953,11406.85,11493.0750642442,12585,12535,12775,12455,0.0,12535,0,0
78,2023-06-30,86.22506424419953,11593.4,11679.6250642442,12605,12740,12860,12545,0.0,12740,0,0
79,2023-07-03,86.22506424419953,11602.5,11688.7250642442,12810,12750,12810,12545,0.0,12750,0,0
80,2023-07-04,86.22506424419953,11793.6,11879.8250642442,12770,12960,12960,12625,0.0,12960,0,0
81,2023-07-05,86.22506424419953,11921.0,12007.2250642442,12960,13100,13180,12820,0.0,13100,0,0
82,2023-07-06,86.22506424419953,11679.85,11766.0750642442,13130,12835,13150,12830,0.0,12835,0,0
83,2023-07-07,86.22506424419953,11707.15,11793.3750642442,12845,12865,12915,12705,0.0,12865,0,0
84,2023-07-10,86.22506424419953,11661.65,11747.8750642442,13060,12815,13085,12760,0.0,12815,0,0
85,2023-07-11,86.22506424419953,12184.9,12271.1250642442,12885,13390,13445,12790,0.0,13390,0,0
86,2023-07-12,86.22506424419953,12180.35,12266.5750642442,13465,13385,13470,13210,0.0,13385,0,0
87,2023-07-13,86.22506424419953,12275.9,12362.1250642442,13445,13490,13510,13260,0.0,13490,0,0
88,2023-07-14,86.22506424419953,11939.2,12025.4250642442,13565,13120,13565,13110,0.0,13120,0,0
89,2023-07-17,86.22506424419953,11475.1,11561.3250642442,13070,12610,13070,12535,0.0,12610,0,0
90,2023-07-18,11551.807747708199,0.0,11551.807747708199,12600,12445,12610,12400,-1.0,12445,0,0
91,2023-07-19,11551.807747708199,0.0,11551.807747708199,12445,12385,12570,12310,0.0,12385,0,0
92,2023-07-20,11551.807747708199,0.0,11551.807747708199,12360,12420,12485,12285,0.0,12420,0,0
93,2023-07-21,11551.807747708199,0.0,11551.807747708199,12410,12320,12410,12190,0.0,12320,0,0
94,2023-07-24,11551.807747708199,0.0,11551.807747708199,12320,12225,12390,12135,0.0,12225,0,0
95,2023-07-25,11551.807747708199,0.0,11551.807747708199,12225,12555,12615,12210,0.0,12555,0,0
96,2023-07-26,11551.807747708199,0.0,11551.807747708199,12655,11935,12670,11820,0.0,11935,0,0
97,2023-07-27,11551.807747708199,0.0,11551.807747708199,12380,11760,12995,11760,0.0,11760,0,0
98,2023-07-28,11551.807747708199,0.0,11551.807747708199,11850,11550,11850,11495,0.0,11550,0,0
99,2023-07-31,11551.807747708199,0.0,11551.807747708199,11645,11900,11990,11600,0.0,11900,0,0
100,2023-08-01,11551.807747708199,0.0,11551.807747708199,11910,11885,11960,11750,0.0,11885,0,0
101,2023-08-02,11551.807747708199,0.0,11551.807747708199,11905,11800,12180,11705,0.0,11800,0,0
102,2023-08-03,11551.807747708199,0.0,11551.807747708199,11790,11605,11800,11550,0.0,11605,0,0
