,Day,Cash,Portfolio,Total,Open,Close,High,Low,Signal,Target price,Tag,MDD
0,2023-03-15,10000.0,0.0,10000.0,60000,59800,60300,59600,0.0,59800,0,0
1,2023-03-16,10000.0,0.0,10000.0,59200,59900,60200,59100,0.0,59900,0,0
2,2023-03-17,10000.0,0.0,10000.0,60800,61300,61300,60600,0.0,61300,0,0
3,2023-03-20,10000.0,0.0,10000.0,61100,60200,61200,60200,0.0,60200,0,0
4,2023-03-21,10000.0,0.0,10000.0,60500,60300,60700,60100,0.0,60300,0,0
5,2023-03-22,10000.0,0.0,10000.0,61000,61100,61200,60500,0.0,61100,0,0
6,2023-03-23,10000.0,0.0,10000.0,60600,62300,62300,60600,0.0,62300,0,0
7,2023-03-24,549.6599999999999,9450.0,9999.66,62700,63000,63300,62300,1.0,63000,0,0
8,2023-03-27,549.6599999999999,9315.0,9864.66,62600,62100,62800,62000,0.0,62100,0,0
9,2023-03-28,549.6599999999999,9435.0,9984.66,62400,62900,62900,62100,0.0,62900,0,0
10,2023-03-29,549.6599999999999,9405.0,9954.66,62500,62700,62700,62200,0.0,62700,0,0
11,2023-03-30,549.6599999999999,9480.0,10029.66,63700,63200,63700,63100,0.0,63200,0,0
12,2023-03-31,549.6599999999999,9600.0,10149.66,64000,64000,64000,63700,0.0,64000,0,0
13,2023-04-03,549.6599999999999,9465.0,10014.66,64000,63100,64000,63000,0.0,63100,0,0
14,2023-04-04,549.6599999999999,9540.0,10089.66,63400,63600,63800,62800,0.0,63600,0,0
15,2023-04-05,549.6599999999999,9585.0,10134.66,63700,63900,64000,63400,0.0,63900,0,0
16,2023-04-06,549.6599999999999,9345.0,9894.66,63500,62300,63600,62300,0.0,62300,0,0
17,2023-04-07,549.6599999999999,9750.0,10299.66,63800,65000,65200,63800,0.0,65000,0,0
18,2023-04-10,549.6599999999999,9855.0,10404.66,64800,65700,66300,64700,0.0,65700,0,0
19,2023-04-11,549.6599999999999,9885.0,10434.66,66200,65900,66200,65400,0.0,65900,0,0
20,2023-04-12,549.6599999999999,9900.0,10449.66,65800,66000,66200,65300,0.0,66000,0,0
21,2023-04-13,549.6599999999999,9915.0,10464.66,65600,66100,66100,65400,0.0,66100,0,0
22,2023-04-14,549.6599999999999,9765.0,10314.66,66600,65100,66600,65000,0.0,65100,0,0
23,2023-04-17,549.6599999999999,9795.0,10344.66,65000,65300,65600,64700,0.0,65300,0,0
24,2023-04-18,549.6599999999999,9840.0,10389.66,65900,65600,66000,64800,0.0,65600,0,0
25,2023-04-19,549.6599999999999,9825.0,10374.66,65500,65500,65800,65300,0.0,65500,0,0
26,2023-04-20,549.6599999999999,9795.0,10344.66,65100,65300,65300,64600,0.0,65300,0,0
27,2023-04-21,549.6599999999999,9855.0,10404.66,65800,65700,65900,65400,0.0,65700,0,0
28,2023-04-24,549.6599999999999,9780.0,10329.66,65300,65200,65700,64800,0.0,65200,0,0
29,2023-04-25,549.6599999999999,9540.0,10089.66,65300,63600,65400,63400,0.0,63600,0,0
30,2023-04-26,549.6599999999999,9615.0,10164.66,63600,64100,64300,63300,0.0,64100,0,0
31,2023-04-27,549.6599999999999,9690.0,10239.66,64100,64600,65000,63300,0.0,64600,0,0
32,2023-04-28,549.6599999999999,9825.0,10374.66,65200,65500,65900,65000,0.0,65500,0,0
33,2023-05-02,549.6599999999999,9855.0,10404.66,66000,65700,66300,65100,0.0,65700,0,0
34,2023-05-03,549.6599999999999,9810.0,10359.66,65100,65400,65600,64900,0.0,65400,0,0
35,2023-05-04,549.6599999999999,9765.0,10314.66,65600,65100,65700,64700,0.0,65100,0,0
36,2023-05-08,549.6599999999999,9885.0,10434.66,66300,65900,66300,65400,0.0,65900,0,0
37,2023-05-09,549.6599999999999,9795.0,10344.66,65800,65300,65800,65100,0.0,65300,0,0
38,2023-05-10,549.6599999999999,9690.0,10239.66,65500,64600,65500,64300,0.0,64600,0,0
39,2023-05-11,549.6599999999999,9630.0,10179.66,64700,64200,65100,64200,0.0,64200,0,0
40,2023-05-12,549.6599999999999,9615.0,10164.66,63700,64100,64600,63600,0.0,64100,0,0
41,2023-05-15,549.6599999999999,9675.0,10224.66,64100,64500,64600,63900,0.0,64500,0,0
42,2023-05-16,549.6599999999999,9810.0,10359.66,65800,65400,65900,65300,0.0,65400,0,0
43,2023-05-17,549.6599999999999,9750.0,10299.66,65900,65000,65900,64800,0.0,65000,0,0
44,2023-05-18,549.6599999999999,9930.0,10479.66,66000,66200,66200,65700,0.0,66200,0,0
45,2023-05-19,549.6599999999999,10260.0,10809.66,67800,68400,68400,67500,0.0,68400,0,0
46,2023-05-22,549.6599999999999,10275.0,10824.66,68400,68500,69000,68000,0.0,68500,0,0
47,2023-05-23,549.6599999999999,10260.0,10809.66,68500,68400,68700,68100,0.0,68400,0,0
48,2023-05-24,549.6599999999999,10275.0,10824.66,68100,68500,68700,68000,0.0,68500,0,0
49,2023-05-25,549.6599999999999,10320.0,10869.66,69900,68800,70000,68700,0.0,68800,0,0
50,2023-05-26,549.6599999999999,10545.0,11094.66,69800,70300,70400,69500,0.0,70300,0,0
51,2023-05-30,549.6599999999999,10845.0,11394.66,71300,72300,72300,71200,0.0,72300,0,0
52,2023-05-31,549.6599999999999,10710.0,11259.66,72400,71400,72500,71000,0.0,71400,0,0
53,2023-06-01,549.6599999999999,10635.0,11184.66,70900,70900,71600,70600,0.0,70900,0,0
54,2023-06-02,549.6599999999999,10830.0,11379.66,71700,72200,72200,71600,0.0,72200,0,0
55,2023-06-05,549.6599999999999,10755.0,11304.66,72700,71700,72700,71400,0.0,71700,0,0
56,2023-06-07,549.6599999999999,10650.0,11199.66,71300,71000,71600,70800,0.0,71000,0,0
57,2023-06-08,549.6599999999999,10635.0,11184.66,70400,70900,70900,70000,0.0,70900,0,0
58,2023-06-09,549.6599999999999,10800.0,11349.66,71100,72000,72300,70800,0.0,72000,0,0
59,2023-06-12,549.6599999999999,10650.0,11199.66,72100,71000,72400,70800,0.0,71000,0,0
60,2023-06-13,549.6599999999999,10800.0,11349.66,71700,72000,72200,71600,0.0,72000,0,0
61,2023-06-14,549.6599999999999,10785.0,11334.66,72100,71900,72200,71100,0.0,71900,0,0
62,2023-06-15,549.6599999999999,10725.0,11274.66,72100,71500,72300,71300,0.0,71500,0,0
63,2023-06-16,549.6599999999999,10770.0,11319.66,71800,71800,71900,70900,0.0,71800,0,0
64,2023-06-19,549.6599999999999,10680.0,11229.66,71300,71200,71700,70900,0.0,71200,0,0
65,2023-06-20,549.6599999999999,10710.0,11259.66,70700,71400,71400,70400,0.0,71400,0,0
66,2023-06-21,549.6599999999999,10575.0,11124.66,70700,70500,71200,70400,0.0,70500,0,0
67,2023-06-22,549.6599999999999,10695.0,11244.66,70200,71300,71500,70100,0.0,71300,0,0
68,2023-06-23,549.6599999999999,10740.0,11289.66,72000,71600,72200,71600,0.0,71600,0,0
69,2023-06-26,549.6599999999999,10860.0,11409.66,71700,72400,72500,71500,0.0,72400,0,0
70,2023-06-27,549.6599999999999,10890.0,11439.66,72500,72600,72600,72000,0.0,72600,0,0
71,2023-06-28,549.6599999999999,10905.0,11454.66,72600,72700,72700,72000,0.0,72700,0,0
72,2023-06-29,549.6599999999999,10860.0,11409.66,73100,72400,73400,72400,0.0,72400,0,0
73,2023-06-30,549.6599999999999,10830.0,11379.66,72500,72200,72700,71700,0.0,72200,0,0
74,2023-07-03,549.6599999999999,10950.0,11499.66,72700,73000,73200,72600,0.0,73000,0,0
75,2023-07-04,549.6599999999999,10950.0,11499.66,73400,73000,73600,72900,0.0,73000,0,0
76,2023-07-05,549.6599999999999,10800.0,11349.66,73000,72000,73300,71900,0.0,72000,0,0
77,2023-07-06,549.6599999999999,10740.0,11289.66,71900,71600,72400,71500,0.0,71600,0,0
78,2023-07-07,549.6599999999999,10485.0,11034.66,71100,69900,71400,69800,0.0,69900,0,0
79,2023-07-10,549.6599999999999,10425.0,10974.66,70000,69500,70400,69200,0.0,69500,0,0
80,2023-07-11,549.6599999999999,10725.0,11274.66,70200,71500,71500,70100,0.0,71500,0,0
