Date,Open,High,Low,Close,Volume
2022-01-27,597000,598000,450000,505000,15946992
2022-01-28,476000,483000,445000,450000,4559773
2022-02-03,458000,495500,441000,477000,2918435
2022-02-04,476500,505000,476000,504000,2088996
2022-02-07,520000,548000,511000,548000,1911176
2022-02-08,554000,577000,524000,542000,2583335
2022-02-09,550000,557000,505000,511000,2070704
2022-02-10,507000,507000,471500,474500,2306815
2022-02-11,463500,484000,457000,482000,1411055
2022-02-14,473000,482000,459500,463000,3285402
2022-02-15,460000,468000,450000,451500,825406
2022-02-16,464000,465000,449500,455500,961669
2022-02-17,454500,460000,447000,454500,711183
2022-02-18,448500,454500,448000,454500,418728
2022-02-21,450000,453000,447500,453000,327509
2022-02-22,444500,448000,440000,440000,557179
2022-02-23,443500,446000,438000,442000,381560
2022-02-24,435000,438000,416000,416500,883314
2022-02-25,425000,430000,418500,420000,465140
2022-02-28,404500,422000,404000,412000,970088
2022-03-02,411000,434500,408500,434000,895460
2022-03-03,439500,441000,430000,437000,460544
2022-03-04,433500,436500,427000,428500,310930
2022-03-07,420500,421000,412000,414000,370588
2022-03-08,406000,417000,402500,410500,393413
2022-03-10,421000,430500,417500,417500,1076446
2022-03-11,411500,412000,390500,391000,1811373
2022-03-14,385000,385500,361500,363500,1999479
2022-03-15,363000,370000,355000,359500,1064506
2022-03-16,367000,367500,360000,363500,625328
2022-03-17,374000,381500,373000,376000,816118
2022-03-18,377500,384000,370500,382000,643915
2022-03-21,385000,397500,384000,386000,655247
2022-03-22,388500,399000,388000,397500,413972
2022-03-23,403000,407500,398000,407000,523438
2022-03-24,405000,410000,398000,408000,320746
2022-03-25,418500,444000,417500,439000,1528600
2022-03-28,439000,443000,430000,436500,481311
2022-03-29,443000,448500,440500,441000,375894
2022-03-30,444500,445000,427000,440500,440195
2022-03-31,437000,444000,435000,442000,272318
2022-04-01,438500,439500,425000,428000,456080
2022-04-04,422000,440500,417500,438500,362727
2022-04-05,442500,450000,437000,449000,491410
2022-04-06,436000,448500,436000,444500,415524
2022-04-07,438000,442000,431000,436500,316409
2022-04-08,449000,449000,437500,439500,395489
2022-04-11,435000,435500,423500,425000,289205
2022-04-12,417000,421500,410000,411000,382240
